Row ID,Table Code,Table Name,Variable Code,Variable,Value,Variable Unit,Date
19000_2011Q2_SQINC1-1_quarter,SQINC1,Personal Income,SQINC1-1,Personal income,124265,Millions of dollars,06/30/2011
19000_2016Q4_SQINC1-1_quarter,SQINC1,Personal Income,SQINC1-1,Personal income,144458,Millions of dollars,12/31/2016
19000_2023Q1_SQINC1-1_quarter,SQINC1,Personal Income,SQINC1-1,Personal income,199988,Millions of dollars,03/31/2023
19000_2023Q2_SQINC1-1_quarter,SQINC1,Personal Income,SQINC1-1,Personal income,200112,Millions of dollars,06/30/2023
19000_2023Q3_SQINC1-1_quarter,SQINC1,Personal Income,SQINC1-1,Personal income,202210,Millions of dollars,09/30/2023
19000_2023Q4_SQINC1-1_quarter,SQINC1,Personal Income,SQINC1-1,Personal income,203021,Millions of dollars,12/31/2023
19000_2002Q2_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,06/30/2002
19000_2004Q4_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,12/31/2004
19000_2005Q1_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,03/31/2005
19000_2005Q2_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,06/30/2005
19000_2005Q3_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,09/30/2005
19000_2005Q4_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,12/31/2005
19000_2006Q1_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,03/31/2006
19000_2006Q2_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,06/30/2006
19000_2006Q3_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,09/30/2006
19000_2006Q4_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,12/31/2006
19000_2007Q1_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,03/31/2007
19000_2007Q2_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,06/30/2007
19000_2007Q3_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,09/30/2007
19000_2007Q4_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,12/31/2007
19000_2008Q1_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,03/31/2008
19000_2008Q2_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,06/30/2008
